City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Sisimiut,GL,66.9395,-53.6735,26.98,56,100,11.07,overcast clouds
1,Barrow,US,71.2906,-156.7887,4.48,78,100,14.14,overcast clouds
2,Yellowknife,CA,62.456,-114.3525,-19.71,84,90,11.5,light snow
3,Kapaa,US,22.0752,-159.319,74.19,99,0,7.43,clear sky
4,Faya,SA,18.3851,42.4509,53.71,81,37,4.21,scattered clouds
5,Hilo,US,19.7297,-155.09,79.61,78,1,4.61,clear sky
6,Busselton,AU,-33.65,115.3333,61.05,76,0,15.61,clear sky
7,Ulladulla,AU,-35.35,150.4667,65.3,84,34,3.56,scattered clouds
8,Kirakira,SB,-10.4544,161.9205,78.94,83,34,5.44,scattered clouds
9,Aklavik,CA,68.2191,-135.0107,-21.17,75,40,5.75,scattered clouds
10,Tuktoyaktuk,CA,69.4541,-133.0374,-20.2,76,75,8.05,light snow
11,Lebu,CL,-37.6167,-73.65,61.92,64,14,17.45,few clouds
12,Vaini,TO,-21.2,-175.2,80.76,89,75,11.5,shower rain
13,Ushuaia,AR,-54.8,-68.3,46.02,57,75,25.32,broken clouds
14,Atuona,PF,-9.8,-139.0333,79.05,74,46,20.11,light rain
15,Norman Wells,CA,65.282,-126.8329,-41.76,66,75,3.44,broken clouds
16,Las Palmas,ES,28.4204,-14.0131,63.39,88,0,9.22,clear sky
17,Albany,US,42.6001,-73.9662,35.31,63,8,3.31,clear sky
18,Bluff,NZ,-46.6,168.3333,61.81,97,98,6.6,overcast clouds
19,Veraval,IN,20.9,70.3667,73.24,81,5,7.83,clear sky
20,Nalut,LY,30.3333,10.85,54.25,38,0,2.15,clear sky
21,Mataura,NZ,-46.1927,168.8643,61.48,99,99,0.56,overcast clouds
22,Upernavik,GL,72.7868,-56.1549,2.03,99,100,14.23,overcast clouds
23,San Patricio,US,28.017,-97.5169,70.07,51,0,9.57,clear sky
24,Salalah,OM,17.0151,54.0924,73.9,61,11,18.23,few clouds
